epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
85,5249.92,0.77663,1.01996,0.71891,1.10194,0,0.71088,0.66029,0.72251,0.50618,0.63706,0.5459,0.55066,0.19846,1.10343,1.06471,1.00781,1.17958,0,0.000824492,0.000824492,0.000824492
86,5305.31,0.80032,1.0063,0.72362,1.11616,0,0.75077,0.65789,0.71815,0.49934,0.66979,0.55981,0.56278,0.20163,1.11101,1.08221,1.01231,1.20002,0,0.000804167,0.000804167,0.000804167
87,5363.61,0.80782,1.03611,0.75164,1.12773,0,0.71999,0.63876,0.72266,0.51101,0.60822,0.54597,0.53183,0.19562,1.08832,1.09367,0.97415,1.18223,0,0.000783933,0.000783933,0.000783933
88,5419.03,0.78443,1.00651,0.72475,1.1164,0,0.76113,0.65311,0.72341,0.50766,0.6475,0.51435,0.51168,0.18432,1.06339,1.08547,0.97919,1.1551,0,0.000763797,0.000763797,0.000763797
89,5474.44,0.75914,1.00753,0.6929,1.08521,0,0.73229,0.67402,0.72615,0.51518,0.65944,0.56459,0.55599,0.19642,1.09779,1.10389,0.97102,1.18277,0,0.000743769,0.000743769,0.000743769
90,5529.78,0.77383,0.99352,0.71817,1.10011,0,0.7254,0.71053,0.74988,0.52653,0.68863,0.55742,0.59768,0.20372,1.0884,1.10957,0.94235,1.167,0,0.000723859,0.000723859,0.000723859
91,5585.24,0.77337,0.99649,0.72249,1.10459,0,0.73946,0.66986,0.73307,0.51893,0.65571,0.54067,0.54686,0.2018,1.08106,1.07541,0.96908,1.1541,0,0.000704073,0.000704073,0.000704073
92,5640.62,0.76025,1.02791,0.71959,1.08897,0,0.72884,0.67464,0.73233,0.50681,0.65094,0.57895,0.58741,0.20308,1.0949,1.09144,0.98125,1.17857,0,0.000684422,0.000684422,0.000684422
93,5701.3,0.7611,0.98761,0.71679,1.08792,0,0.75078,0.66303,0.74734,0.52838,0.65161,0.54306,0.55383,0.20018,1.02914,1.06988,0.93594,1.13166,0,0.000664914,0.000664914,0.000664914
94,5756.61,0.76014,0.99844,0.70031,1.08479,0,0.71571,0.69139,0.75162,0.53759,0.63974,0.55742,0.57985,0.20715,1.04194,1.07173,0.91939,1.14927,0,0.000645557,0.000645557,0.000645557
95,5811.91,0.7767,0.97332,0.70303,1.10008,0,0.75395,0.67703,0.74247,0.53302,0.65331,0.6041,0.5959,0.21601,1.05873,1.06282,0.96776,1.16745,0,0.00062636,0.00062636,0.00062636
96,5867.48,0.75884,0.99374,0.69377,1.09548,0,0.72267,0.66507,0.72324,0.52024,0.63646,0.58612,0.5837,0.2013,1.0611,1.0623,0.97838,1.16171,0,0.000607331,0.000607331,0.000607331
97,5922.98,0.77792,1.02106,0.70843,1.0938,0,0.72055,0.6866,0.74819,0.52018,0.60022,0.53159,0.523,0.19154,1.09231,1.1201,0.97528,1.1695,0,0.000588479,0.000588479,0.000588479
98,5978.22,0.74803,0.97767,0.6913,1.09333,0,0.77374,0.66746,0.74603,0.52073,0.68487,0.51993,0.54672,0.1967,1.08638,1.10936,0.96284,1.16601,0,0.000569811,0.000569811,0.000569811
99,6052.79,0.74723,1.0124,0.69094,1.0706,0,0.76029,0.67464,0.74509,0.52791,0.75138,0.56459,0.63402,0.2238,1.05765,1.05928,0.96541,1.15357,0,0.000551337,0.000551337,0.000551337
100,6108.02,0.74884,0.98366,0.69562,1.0845,0,0.71575,0.7048,0.73845,0.52257,0.67931,0.56459,0.59686,0.20911,1.06084,1.07525,0.96288,1.15179,0,0.000533064,0.000533064,0.000533064
101,6163.37,0.73537,0.98285,0.67972,1.08116,0,0.74135,0.66029,0.73747,0.52085,0.71398,0.56459,0.59242,0.20509,1.07536,1.05219,0.98567,1.15699,0,0.000515,0.000515,0.000515
102,6218.63,0.74836,0.97953,0.6933,1.09813,0,0.77043,0.6744,0.75333,0.53402,0.7219,0.54067,0.60078,0.21505,1.07013,1.05622,0.92614,1.14154,0,0.000497153,0.000497153,0.000497153
103,6283.73,0.74569,0.95446,0.67028,1.08786,0,0.7436,0.68182,0.74359,0.53037,0.61088,0.56699,0.55487,0.20282,1.03669,1.08159,0.9406,1.13908,0,0.000479531,0.000479531,0.000479531
104,6339.23,0.73984,1.00691,0.6693,1.07848,0,0.76558,0.67192,0.75408,0.5272,0.74413,0.5622,0.62131,0.22005,1.06688,1.05347,0.9396,1.1549,0,0.000462142,0.000462142,0.000462142
105,6394.52,0.73698,0.96451,0.67833,1.07734,0,0.72293,0.67414,0.75233,0.53521,0.73151,0.55024,0.60721,0.20914,1.05909,1.06885,0.93855,1.14781,0,0.000444994,0.000444994,0.000444994
106,6449.81,0.7341,0.99663,0.66043,1.06285,0,0.75583,0.6813,0.75415,0.53258,0.66955,0.57177,0.61354,0.21272,1.06167,1.05698,0.9361,1.15551,0,0.000428093,0.000428093,0.000428093
107,6533.23,0.71833,0.9756,0.65364,1.08067,0,0.8017,0.6577,0.75229,0.53912,0.71595,0.58489,0.61272,0.21542,1.04675,1.0472,0.90972,1.15595,0,0.000411447,0.000411447,0.000411447
108,6615.78,0.72674,0.97186,0.6696,1.07216,0,0.73415,0.67464,0.75116,0.53661,0.6985,0.54545,0.59402,0.21451,1.04124,1.04991,0.93519,1.1442,0,0.000395064,0.000395064,0.000395064
109,6670.9,0.72218,0.95886,0.65553,1.07503,0,0.71929,0.67432,0.74809,0.53183,0.65689,0.60458,0.6152,0.21844,1.05666,1.05565,0.93551,1.13773,0,0.00037895,0.00037895,0.00037895
110,6726.09,0.75057,0.98545,0.69759,1.08437,0,0.75585,0.67397,0.75392,0.53864,0.67063,0.59091,0.59247,0.20962,1.05788,1.04823,0.93447,1.15447,0,0.000363114,0.000363114,0.000363114
111,6781.26,0.726,1.00083,0.64629,1.06861,0,0.7623,0.66029,0.74415,0.52893,0.73638,0.56459,0.59652,0.21105,1.04876,1.0531,0.93096,1.15616,0,0.000347561,0.000347561,0.000347561
112,6836.48,0.73284,0.96403,0.65315,1.07566,0,0.7555,0.6866,0.75508,0.53488,0.65475,0.58527,0.60589,0.21711,1.05783,1.06141,0.92252,1.15382,0,0.000332298,0.000332298,0.000332298
113,6891.89,0.72432,0.95675,0.64901,1.07309,0,0.79812,0.63158,0.75187,0.52959,0.72074,0.55024,0.60459,0.21318,1.0546,1.04439,0.93605,1.14666,0,0.000317333,0.000317333,0.000317333
114,6974.56,0.70404,0.97637,0.65925,1.05394,0,0.75637,0.67225,0.75264,0.54023,0.70099,0.55981,0.60384,0.20852,1.02795,1.03609,0.92547,1.11943,0,0.000302672,0.000302672,0.000302672
115,7040.1,0.72148,0.96137,0.64991,1.06935,0,0.75056,0.6866,0.74706,0.53147,0.65534,0.59569,0.60264,0.2116,1.0566,1.04648,0.93093,1.14668,0,0.000288321,0.000288321,0.000288321
116,7095.34,0.70996,0.9976,0.63393,1.05874,0,0.7764,0.66507,0.74692,0.53084,0.72542,0.58779,0.61828,0.21573,1.07222,1.04675,0.93114,1.16394,0,0.000274287,0.000274287,0.000274287
117,7150.77,0.71691,0.99004,0.65938,1.05947,0,0.79091,0.6606,0.75236,0.53676,0.74993,0.56677,0.62136,0.21568,1.04458,1.0586,0.93198,1.14135,0,0.000260575,0.000260575,0.000260575
118,7223.22,0.71698,0.96051,0.64675,1.06013,0,0.78627,0.65311,0.74835,0.53694,0.74059,0.56687,0.6188,0.21653,1.03245,1.04381,0.92828,1.14257,0,0.000247192,0.000247192,0.000247192
119,7281.73,0.72484,0.97894,0.63846,1.0698,0,0.76868,0.6555,0.74883,0.54051,0.69262,0.59569,0.62048,0.21769,1.05407,1.04461,0.93006,1.14709,0,0.000234143,0.000234143,0.000234143
120,7346.97,0.69092,0.95356,0.63034,1.04981,0,0.76477,0.68421,0.75945,0.54291,0.71991,0.5933,0.63842,0.21964,1.0377,1.04609,0.93344,1.12694,0,0.000221435,0.000221435,0.000221435
121,7475.36,0.70175,0.94099,0.64471,1.052,0,0.73801,0.67464,0.75567,0.54138,0.69064,0.55545,0.58804,0.20734,1.04166,1.0852,0.91668,1.14323,0,0.000209073,0.000209073,0.000209073
