epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
88,2057.78,0.74224,1.05939,0.67304,0.98431,0,0.8081,0.71528,0.78909,0.60728,0.72384,0.61244,0.63235,0.25302,0.80829,1.07591,0.87418,0.99832,0,0.0002774,0.0002774,0.0002774
89,2072.98,0.75266,1.06481,0.68197,0.99809,0,0.82748,0.71145,0.7958,0.61579,0.75206,0.60954,0.65673,0.26392,0.80782,1.06252,0.8605,0.99441,0,0.0002576,0.0002576,0.0002576
90,2088.19,0.71077,1.05552,0.66632,0.98634,0,0.81462,0.70435,0.7916,0.60421,0.72859,0.60369,0.63214,0.25463,0.82282,1.07633,0.86429,1.00397,0,0.0002378,0.0002378,0.0002378
91,2131.17,0.67726,0.85262,0.7302,0.99798,0,0.77414,0.72157,0.78445,0.6051,0.70701,0.64115,0.66961,0.26508,0.80892,1.04564,0.883,0.99,0,0.000218,0.000218,0.000218
92,2146.04,0.67531,0.86163,0.69585,1.00742,0,0.77595,0.7291,0.77979,0.60554,0.69471,0.63695,0.64743,0.25462,0.81195,1.06986,0.87551,0.98683,0,0.0001982,0.0001982,0.0001982
93,2160.99,0.66486,0.84036,0.66599,1.00766,0,0.78587,0.7177,0.78892,0.62173,0.74508,0.63876,0.67517,0.27138,0.80071,1.06997,0.8497,0.97952,0,0.0001784,0.0001784,0.0001784
94,2175.88,0.67251,0.83275,0.67546,1.01933,0,0.78449,0.69669,0.77702,0.60372,0.70627,0.62701,0.64727,0.25689,0.80152,1.0568,0.86078,0.97097,0,0.0001586,0.0001586,0.0001586
95,2190.77,0.66053,0.85165,0.65801,0.99718,0,0.77182,0.71212,0.78069,0.61115,0.75528,0.59808,0.64718,0.26223,0.78792,1.05443,0.86276,0.96954,0,0.0001388,0.0001388,0.0001388
96,2205.68,0.67075,0.84402,0.65834,0.99585,0,0.80575,0.71451,0.78725,0.62149,0.74426,0.63876,0.66741,0.26612,0.78014,1.04367,0.84245,0.96946,0,0.000119,0.000119,0.000119
97,2220.55,0.63861,0.81818,0.63917,0.99131,0,0.79635,0.71292,0.78857,0.62377,0.73976,0.64115,0.67989,0.26818,0.77611,1.04955,0.84131,0.96458,0,9.92e-05,9.92e-05,9.92e-05
98,2235.55,0.65138,0.839,0.66167,0.99059,0,0.81759,0.6866,0.78789,0.62383,0.78994,0.59376,0.65324,0.26868,0.77856,1.0493,0.84623,0.97004,0,7.94e-05,7.94e-05,7.94e-05
99,2250.44,0.62896,0.81483,0.6356,0.97497,0,0.82748,0.68848,0.79111,0.62882,0.761,0.60048,0.65851,0.26811,0.76825,1.04932,0.83549,0.96395,0,5.96e-05,5.96e-05,5.96e-05
100,2265.44,0.63754,0.8304,0.6487,0.98509,0,0.8206,0.6894,0.79368,0.62917,0.78681,0.6244,0.68859,0.27564,0.76511,1.04018,0.83466,0.96138,0,3.98e-05,3.98e-05,3.98e-05
